83.72,Recession of tendon
730.21,"Unspecified osteomyelitis, shoulder region"
60.3,Suprapubic prostatectomy
730.23,"Unspecified osteomyelitis, forearm"
781.4,Transient paralysis of limb
665.51,"Other injury to pelvic organs, delivered, with or without mention of antepartum condition"
780.60,"Fever, unspecified"
363.32,Other macular scars
902.5,Injury to iliac blood vessels
363.30,"Chorioretinal scar, unspecified"
922.3,Contusion of back
16.22,Diagnostic aspiration of orbit
555,Regional enteritis
344.03,"Quadriplegia, C5-C7, complete"
83.98,Injection of locally acting therapeutic substance into other soft tissue
E926.8,Exposure to other specified radiation
86.59,Closure of skin and subcutaneous tissue of other sites
451.82,Phlebitis and thrombophlebitis of superficial veins of upper extremities
E919.2,Accidents caused by lifting machines and appliances
729.1,"Myalgia and myositis, unspecified"
569.69,Other colostomy and enterostomy complication
85.7,Total reconstruction of breast
520.4,Disturbances of tooth formation
804.5,"Open fractures involving skull or face with other bones, without mention of intracranial injury"
532.9,"Duodenal ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation"
716.16,"Traumatic arthropathy, lower leg"
218,Uterine leiomyoma
455.7,Unspecified thrombosed hemorrhoids
864.01,"Injury to liver without mention of open wound into cavity, hematoma and contusion"
313.23,Selective mutism
011.04,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
80.1,Other arthrotomy
651.1,Triplet pregnancy
92.29,Other radiotherapeutic procedure
V84.81,Genetic susceptibility to multiple endocrine neoplasia [MEN]
126.9,"Ancylostomiasis and necatoriasis, unspecified"
38.00,"Incision of vessel, unspecified site"
347.0,Narcolepsy
453.76,Chronic venous embolism and thrombosis of internal jugular veins
453.74,Chronic venous embolism and thrombosis of axillary veins
146.7,Malignant neoplasm of posterior wall of oropharynx
V61.03,Family disruption due to divorce or legal separation
535.21,"Gastric mucosal hypertrophy, with hemorrhage"
V61.05,Family disruption due to child in welfare custody
049.0,Lymphocytic choriomeningitis
353.1,Lumbosacral plexus lesions
642.03,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
52.80,"Pancreatic transplant, not otherwise specified"
654.51,"Cervical incompetence, delivered, with or without mention of antepartum condition"
65.53,Laparoscopic removal of both ovaries at same operative episode
86,Operations on skin and subcutaneous tissue
81.34,"Refusion of dorsal and dorsolumbar spine, anterior column, anterior technique"
V13.59,Personal history of other musculoskeletal disorders
634.71,"Spontaneous abortion, with other specified complications, incomplete"
368.54,Achromatopsia
941.21,"Blisters, epidermal loss [second degree] of ear [any part]"
117.7,Zygomycosis [Phycomycosis or Mucormycosis]
457.8,Other noninfectious disorders of lymphatic channels
866.11,"Injury to kidney with open wound into cavity, hematoma without rupture of capsule"
866.13,"Injury to kidney with open wound into cavity, complete disruption of kidney parenchyma"
716.0,Kaschin-Beck disease
574.30,"Calculus of bile duct with acute cholecystitis, without mention of obstruction"
718.1,Loose body in joint
784.5,Other speech disturbance
288.63,Monocytosis (symptomatic)
288.65,Basophilia
719.26,"Villonodular synovitis, lower leg"
93.6,Osteopathic manipulative treatment
424.9,"Endocarditis, valve unspecified"
207,Other specified leukemia
784.8,Hemorrhage from throat
280.0,Iron deficiency anemia secondary to blood loss (chronic)
V70.1,"General psychiatric examination, requested by the authority"
997.6,Amputation stump complication
815.10,"Open fracture of metacarpal bone(s), site unspecified"
46.1,Colostomy
V87.01,Contact with and (suspected) exposure to arsenic
016.26,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
853.01,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
65.4,Unilateral salpingo-oophorectomy
77.43,"Biopsy of bone, radius and ulna"
115.9,"Histoplasmosis, unspecified"
V81.4,Screening for other and unspecified respiratory conditions
562.12,Diverticulosis of colon with hemorrhage
E871.7,Foreign object left in body during removal of catheter or packing
668.8,Other complications of anesthesia or other sedation in labor and delivery
524.21,"Malocclusion, Angle's class I"
202.22,"Sezary's disease, intrathoracic lymph nodes"
719.28,"Villonodular synovitis, other specified sites"
E830.9,Accident to watercraft causing submersion injuring unspecified person
695.52,Exfoliation due to erythematous condition involving 20-29 percent of body surface
198.89,Secondary malignant neoplasm of other specified sites
695.54,Exfoliation due to erythematous condition involving 40-49 percent of body surface
E992.2,Injury due to marine mines
V54.22,Aftercare for healing pathologic fracture of lower arm
070.5,Other specified viral hepatitis without mention of hepatic coma
70.95,Insertion of synthetic graft or prosthesis
999.83,"Hemolytic transfusion reaction, incompatibility unspecified"
659.73,"Abnormality in fetal heart rate or rhythm, antepartum condition or complication"
799.29,Other signs and symptoms involving emotional state
459.19,Postphlebetic syndrome with other complication
685.0,Pilonidal cyst with abscess
80.19,"Other arthrotomy, other specified sites"
V45.74,"Acquired absence of organ, other parts of urinary tract"
098.50,Gonococcal arthritis
010.83,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
81.21,Arthrodesis of hip
773.5,Late anemia of fetus or newborn due to isoimmunization
376.0,Acute inflammation of orbit
356.2,Hereditary sensory neuropathy
016.1,Tuberculosis of bladder
151,Malignant neoplasm of stomach
V55.0,Attention to tracheostomy
016.4,Tuberculosis of epididymis
10.42,Reconstruction of conjunctival cul-de-sac with free graft
305.33,"Hallucinogen abuse, in remission"
413.9,Other and unspecified angina pectoris
377.21,Drusen of optic disc
569.3,Hemorrhage of rectum and anus
398,Other rheumatic heart disease
084.9,Other pernicious complications of malaria
38.60,"Other excision of vessels, unspecified site"
00.9,Other procedures and interventions
371.6,Keratoconus
642.42,"Mild or unspecified pre-eclampsia, delivered, with mention of postpartum complication"
07.44,Repair of adrenal gland
744.09,Other anomalies of ear causing impairment of hearing
V70.4,Examination for medicolegal reasons
972.0,Poisoning by cardiac rhythm regulators
78.0,Bone graft
726.39,Other enthesopathy of elbow region
741.92,"Spina bifida without mention of hydrocephalus, dorsal (thoracic) region"
02.04,Bone graft to skull
861.30,Unspecified injury of lung with open wound into thorax
233.32,"Carcinoma in situ, vulva"
V23.42,Pregnancy with history of ectopic pregnancy
49.52,Posterior anal sphincterotomy
674.0,Cerebrovascular disorders in the puerperium
73.5,Manually assisted delivery
943.15,Erythema [first degree] of shoulder
839.61,"Closed dislocation, sternum"
00.96,Infusion of 4-Factor Prothrombin Complex Concentrate
99.34,Vaccination against plague
14.71,"Removal of vitreous, anterior approach"
532.50,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction"
493.21,Chronic obstructive asthma with status asthmaticus
V77,"Special screening for endocrine, nutritional, metabolic, and immunity disorders"
843,Sprains and strains of hip and thigh
345.2,Petit mal status
005.1,Botulism food poisoning
80.06,"Arthrotomy for removal of prosthesis without replacement, knee"
831.09,"Closed dislocation of shoulder, other"
505,"Pneumoconiosis, unspecified"
11.22,Biopsy of cornea
45.23,Colonoscopy
362.55,Toxic maculopathy
362.53,Cystoid macular degeneration
007.2,Coccidiosis
140,Malignant neoplasm of lip
47.92,Closure of appendiceal fistula
13.91,Implantation of intraocular telescope prosthesis
763,Fetus or newborn affected by other complications of labor and delivery
245.4,Iatrogenic thyroiditis
93.01,Functional evaluation
V19.19,Family history of other specified eye disorder
338.12,Acute post-thoracotomy pain
532.1,Acute duodenal ulcer with perforation
91.93,"Microscopic examination of specimen from unspecified site, culture and sensitivity"
V67.51,"Follow-up examination, following completed treatment with high-risk medication, not elsewhere classified"
E013.5,Activities involving residential relocation
647,"Infectious and parasitic conditions in the mother classifiable elsewhere, but complicating pregnancy, childbirth, or the puerperium"
V24.2,Routine postpartum follow-up
39.54,Re-entry operation (aorta)
574.2,Calculus of gallbladder without mention of cholecystitis
55.35,Other and unspecified ablation of renal lesion or tissue
327.5,Organic sleep related movement disorders
902.42,Injury to renal vein
89.36,Manual examination of breast
734,Flat foot
346.32,"Hemiplegic migraine, without mention of intractable migraine with status migrainosus"
346.30,"Hemiplegic migraine, without mention of intractable migraine without mention of status migrainosus"
825.22,"Closed fracture of navicular [scaphoid], foot"
787.0,Nausea and vomiting
E813.8,Motor vehicle traffic accident involving collision with other vehicle injuring other specified person
535.51,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
017.50,"Tuberculosis of thyroid gland, unspecified"
01.24,Other craniotomy
35.25,Open and other replacement of pulmonary valve with tissue graft
302.8,Other specified psychosexual disorders
017.52,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
711.11,"Arthropathy associated with Reiter's disease and nonspecific urethritis, shoulder region"
458.2,Iatrogenic hypotension
48.72,Closure of proctostomy
72.7,Vacuum extraction
903.2,Injury to radial blood vessels
364.00,"Acute and subacute iridocyclitis, unspecified"
618.01,"Cystocele, midline"
996.02,Mechanical complication due to heart valve prosthesis
14.74,Other mechanical vitrectomy
48.75,Abdominal proctopexy
830.1,Open dislocation of jaw
77.13,"Other incision of bone without division, radius and ulna"
665.8,Other specified obstetrical trauma
945,Burn of lower limb(s)
89.39,Other nonoperative measurements and examinations
89.23,Urethral sphincter electromyogram
V04.7,Need for prophylactic vaccination and inoculation against common cold
648.60,"Other cardiovascular diseases of mother, unspecified as to episode of care or not applicable"
810.03,Closed fracture of acromial end of clavicle
42.32,Local excision of other lesion or tissue of esophagus
521.1,Excessive dental attrition [approximal wear] [occlusal wear]
172.3,Malignant melanoma of skin of other and unspecified parts of face
192.1,Malignant neoplasm of cerebral meninges
659.90,"Unspecified indication for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable"
E875.1,Contaminated substance injected or used for vaccination
942.29,"Blisters, epidermal loss [second degree] of other and multiple sites of trunk"
620.6,Broad ligament laceration syndrome
202.52,"Letterer-siwe disease, intrathoracic lymph nodes"
271.8,Other specified disorders of carbohydrate transport and metabolism
77.2,Wedge osteotomy
89.3,Other anatomic and physiologic measurements and manual examinations
087.1,"Relapsing fever, tick-borne"
376.03,Orbital osteomyelitis
662.00,"Prolonged first stage of labor, unspecified as to episode of care or not applicable"
00.09,Other therapeutic ultrasound
E980.7,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted"
878.6,"Open wound of vagina, without mention of complication"
716.33,"Climacteric arthritis, forearm"
E980.5,"Poisoning by unspecified drug or medicinal substance, undetermined whether accidentally or purposely inflicted"
926.1,Crushing injury of other specified sites of trunk
906.3,Late effect of contusion
011.21,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
994.6,Motion sickness
673.30,"Obstetrical pyemic and septic embolism, unspecified as to episode of care or not applicable"
712.97,"Unspecified crystal arthropathy, ankle and foot"
098.4,Gonococcal infection of eye
V84.03,Genetic susceptibility to malignant neoplasm of prostate
371.11,Anterior corneal pigmentations
728.81,Interstitial myositis
78.97,"Insertion of bone growth stimulator, tibia and fibula"
943.45,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of shoulder"
654.5,"Cervical incompetence complicating pregnancy, childbirth, or the puerperium"
369.22,Better eye: severe vision impairment; lesser eye: severe vision impairment
730.70,"Osteopathy resulting from poliomyelitis, site unspecified"
V01-V91.99,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
764.92,"Fetal growth retardation, unspecified, 500-749 grams"
764.90,"Fetal growth retardation, unspecified, unspecified [weight]"
13.59,Other extracapsular extraction of lens
296.14,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior"
011.51,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
296.12,"Manic affective disorder, recurrent episode, moderate"
654.8,"Congenital or acquired abnormality of vulva complicating pregnancy, childbirth, or the puerperium"
800.59,"Open fracture of vault of skull without mention of intracranial injury, with concussion, unspecified"
150.0,Malignant neoplasm of cervical esophagus
12.7,Other procedures for relief of elevated intraocular pressure
863.54,"Injury to sigmoid colon, with open wound into cavity"
737.0,Adolescent postural kyphosis
96.46,Irrigation of ureterostomy and ureteral catheter
528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
752.44,Cervical duplication
08.32,Repair of blepharoptosis by frontalis muscle technique with fascial sling
346.71,"Chronic migraine without aura, with intractable migraine, so stated, without mention of status migrainosus"
77.16,"Other incision of bone without division, patella"
648.90,"Other current conditions classifiable elsewhere of mother, unspecified as to episode of care or not applicable"
161.3,Malignant neoplasm of laryngeal cartilages
V87.0,Contact with and (suspected) exposure to hazardous metals
199,Malignant neoplasm without specification of site
853.0,"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound"
91.96,"Microscopic examination of specimen from unspecified site, cell block and Papanicolaou smear"
779.1,Other and unspecified cerebral irritability in newborn
851.94,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
665.10,"Rupture of uterus during labor, unspecified as to episode of care or not applicable"
V50.9,Unspecified elective surgery for purposes other than remedying health states
E893.2,Accident caused by ignition of clothing from controlled fire not in building or structure
555.0,Regional enteritis of small intestine
629.31,Erosion of implanted vaginal mesh and other prosthetic materials to surrounding organ or tissue
327.12,Idiopathic hypersomnia without long sleep time
374.23,Cicatricial lagophthalmos
374.21,Paralytic lagophthalmos
623.7,Polyp of vagina
963.8,Poisoning by other specified systemic agents
376.35,Pulsating exophthalmos
376.33,Orbital edema or congestion
821.33,Open supracondylar fracture of femur
032.89,Other specified diphtheria
021,Tularemia
016.75,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
016.73,"Tuberculosis of other female genital organs, tubercle bacilli found (in sputum) by microscopy"
764.04,"""Light-for-dates"" without mention of fetal malnutrition, 1,000- 1,249 grams"
923.09,Contusion of multiple sites of shoulder and upper arm
948.97,"Burn [any degree] involving 90 percent or more of body surface with third degree burn, 70-79%"
209.30,"Malignant poorly differentiated neuroendocrine carcinoma, any site"
759.6,"Other hamartoses, not elsewhere classified"
730.12,"Chronic osteomyelitis, upper arm"
713,Arthropathy associated with other disorders classified elsewhere
130.5,Hepatitis due to toxoplasmosis
E815.2,Other motor vehicle traffic accident involving collision on the highway injuring motorcyclist
238.71,Essential thrombocythemia
V28.81,Encounter for fetal anatomic survey
E815.0,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle
362.05,Moderate nonproliferative diabetic retinopathy
176.9,"Kaposi's sarcoma, unspecified site"
952.12,T1-T6 level with anterior cord syndrome
952.10,T1-T6 level with unspecified spinal cord injury
84.3,Revision of amputation stump
842.0,Wrist sprain
96.4,"Nonoperative irrigation, cleaning, and local instillation of other digestive and genitourinary organs"
07.17,Biopsy of pineal gland
65.0,Oophorotomy
571.49,Other chronic hepatitis
654.12,"Tumors of body of uterus, delivered, with mention of postpartum complication"
172.6,"Malignant melanoma of skin of upper limb, including shoulder"
017.91,"Tuberculosis of other specified organs, bacteriological or histological examination not done"
370.04,Hypopyon ulcer
55.82,Closure of nephrostomy and pyelostomy
711.50,"Arthropathy associated with other viral diseases, site unspecified"
654.10,"Tumors of body of uterus, unspecified as to episode of care or not applicable"
368.15,Other visual distortions and entoptic phenomena
00.69,"Intravascular pressure measurement, other specified and unspecified vessels"
941.5,"Deep necrosis of underlying tissues due to burn [deep third degree] of face, head, and neck with loss of a body part"
636.42,"Illegally induced abortion, complicated by metabolic disorder, complete"
851.06,"Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration"
524.2,Anomalies of dental arch relationship
813.15,Open fracture of head of radius
12.79,Other glaucoma procedures
46.64,Other fixation of large intestine
722.80,"Postlaminectomy syndrome, unspecified region"
35.72,Other and unspecified repair of ventricular septal defect
760.73,Hallucinogenic agents affecting fetus or newborn via placenta or breast milk
379.45,"Argyll Robertson pupil, atypical"
760.71,Alcohol affecting fetus or newborn via placenta or breast milk
305.50,"Opioid abuse, unspecified"
796.75,Anal high risk human papillomavirus (HPV) DNA test positive
952.8,Multiple sites of spinal cord injury without evidence of spinal bone injury
98.11,Removal of intraluminal foreign body from ear without incision
535.5,Unspecified gastritis and gastroduodenitis
E943.3,"Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use"
E943.1,Irritant cathartics causing adverse effects in therapeutic use
588.89,Other specified disorders resulting from impaired renal function
748.3,"Other anomalies of larynx, trachea, and bronchus"
V72.82,Pre-operative respiratory examination
031.0,Pulmonary diseases due to other mycobacteria
746.5,Congenital mitral stenosis
839.9,"Open dislocation, multiple and ill-defined sites"
77.60,"Local excision of lesion or tissue of bone, unspecified site"
370.34,Exposure keratoconjunctivitis
474.9,Unspecified chronic disease of tonsils and adenoids
634.60,"Spontaneous abortion, complicated by embolism, unspecified"
E996,Injury due to war operations by nuclear weapons
865.10,"Injury to spleen with open wound into cavity, unspecified injury"
368.45,Generalized visual field contraction or constriction
079.5,Retrovirus infection in conditions classified elsewhere and of unspecified site
386.58,Other forms and combinations of labyrinthine dysfunction
386.56,"Loss of labyrinthine reactivity, bilateral"
634.62,"Spontaneous abortion, complicated by embolism, complete"
941.10,"Erythema [first degree] of face and head, unspecified site"
V43.1,Lens replaced by other means
E949.5,Poliomyelitis vaccine causing adverse effects in therapeutic use
E949.3,Yellow fever vaccine causing adverse effects in therapeutic use
289.0,"Polycythemia, secondary"
290.13,Presenile dementia with depressive features
E983.9,"Strangulation or suffocation by unspecified means, undetermined whether accidentally or purposely inflicted"
305.82,"Antidepressant type abuse, episodic"
574.21,"Calculus of gallbladder without mention of cholecystitis, with obstruction"
85.41,Unilateral simple mastectomy
83.43,Excision of muscle or fascia for graft
200.57,"Primary central nervous system lymphoma, spleen"
661.23,"Other and unspecified uterine inertia, antepartum condition or complication"
661.21,"Other and unspecified uterine inertia, delivered, with or without mention of antepartum condition"
208.12,"Chronic leukemia of unspecified cell type, in relapse"
910.7,"Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound, infected"
88.68,Impedance phlebography
755.54,Madelung's deformity
755.56,Accessory carpal bones
813.45,Torus fracture of radius (alone)
524.5,Dentofacial functional abnormalities
851.36,"Cortex (cerebral) laceration with open intracranial wound, with loss of consciousness of unspecified duration"
711.80,"Arthropathy associated with other infectious and parasitic diseases, site unspecified"
84.23,"Forearm, wrist, or hand reattachment"
00.56,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
252.9,Unspecified disorder of parathyroid gland
737.3,Kyphoscoliosis and scoliosis
695.13,Stevens-Johnson syndrome
695.15,Toxic epidermal necrolysis
V85.2,"Body Mass Index between 25-29, adult"
295.1,Disorganized type schizophrenia
717.5,"Derangement of meniscus, not elsewhere classified"
149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx"
84.26,Foot reattachment
804.09,"Closed fractures involving skull of face with other bones, without mention of intracranial injury, with concussion, unspecified"
E924.0,"Accident caused by hot liquids and vapors, including steam"
717.8,Other internal derangement of knee
852.41,"Extradural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
795.01,Papanicolaou smear of cervix with atypical squamous cells of undetermined significance (ASC-US)
552.29,Other ventral hernia with obstruction
E886,"Fall on same level from collision, pushing, or shoving, by or with other person"
62.92,Injection of therapeutic substance into testis
77.63,"Local excision of lesion or tissue of bone, radius and ulna"
636.81,"Illegally induced abortion, with unspecified complication, incomplete"
E873.9,Unspecified failure in dosage
111.3,Black piedra
E878.5,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
618.0,Prolapse of vaginal walls without mention of uterine prolapse
39.97,Other perfusion
642.91,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
97.8,Other nonoperative removal of therapeutic device
801.94,"Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
V17.81,Family history of osteoporosis
210.8,Benign neoplasm of hypopharynx
550.9,"Inguinal hernia, without mention of obstruction or gangrene"
E855.6,Accidental poisoning by sympatholytics [antiadrenergics]
E855.8,Accidental poisoning by other specified drugs acting on central and autonomic nervous systems
440.1,Atherosclerosis of renal artery
309.0,Adjustment disorder with depressed mood
375.4,Chronic inflammation of lacrimal passages
77.7,Excision of bone for graft
011.90,"Pulmonary tuberculosis, unspecified, unspecified"
038.49,Other septicemia due to gram-negative organisms
530.85,Barrett's esophagus
377.5,Disorders of optic chiasm
784,Symptoms involving head and neck
V74.2,Screening examination for leprosy (Hansen's disease)
015.8,Tuberculosis of other specified joint
138,Late effects of acute poliomyelitis
91.4,Microscopic examination of specimen from female genital tract
521.49,Other pathological resorption
14.27,Destruction of chorioretinal lesion by implantation of radiation source
72.1,Low forceps operation with episiotomy
839.52,"Open dislocation, sacrum"
017.9,Tuberculosis of other specified organs
616.2,Cyst of Bartholin's gland
943.06,Burn of unspecified degree of scapular region
943.04,Burn of unspecified degree of axilla
839.50,"Open dislocation, vertebra, unspecified site"
115.11,"Infection by Histoplasma duboisii, meningitis"
V39,"Liveborn, unspecified whether single, twin, or multiple"
599.8,Other specified disorders of urethra and urinary tract
991.2,Frostbite of foot
958-959.99,CERTAIN TRAUMATIC COMPLICATIONS AND UNSPECIFIED INJURIES
668.01,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
07.64,"Total excision of pituitary gland, transfrontal approach"
60.0,Incision of prostate
719.19,"Hemarthrosis, multiple sites"
945.0,"Burn of lower limb(s), unspecified degree"
785.59,Other shock without mention of trauma
290.43,"Vascular dementia, with depressed mood"
014.05,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
944.22,"Blisters, epidermal loss [second degree] of thumb (nail)"
388.12,Noise-induced hearing loss
V66.0,Convalescence following surgery
388.10,"Noise effects on inner ear, unspecified"
122.6,"Echinococcus multilocularis infection, other"
947.1,"Burn of larynx, trachea, and lung"
607.0,Leukoplakia of penis
V12.3,Personal history of diseases of blood and blood-forming organs
278.0,Overweight and obesity
V32.1,"Twin birth, mate stillborn, born before admission to hospital"
582.1,Chronic glomerulonephritis with lesion of membranous glomerulonephritis
V64.06,Vaccination not carried out because of patient refusal
761.9,Unspecified maternal complication of pregnancy affecting fetus or newborn
344.6,Cauda equina syndrome
447,Other disorders of arteries and arterioles
364.4,Vascular disorders of iris and ciliary body
618.3,"Uterovaginal prolapse, complete"
653.33,"Outlet contraction of pelvis, antepartum condition or complication"
V43.4,Blood vessel replaced by other means
202.13,"Mycosis fungoides, intra-abdominal lymph nodes"
202.11,"Mycosis fungoides, lymph nodes of head, face, and neck"
082,Tick-borne rickettsioses
42.82,Suture of laceration of esophagus
902.8,Injury to other specified blood vessels of abdomen and pelvis
80.41,"Division of joint capsule, ligament, or cartilage, shoulder"
57.4,Transurethral excision or destruction of bladder tissue
93.14,Training in joint movements
E879.9,"Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
71.23,Marsupialization of Bartholin's gland (cyst)
673.00,"Obstetrical air embolism, unspecified as to episode of care or not applicable"
960.4,Poisoning by tetracycline group
291.3,Alcohol-induced psychotic disorder with hallucinations
658,Other problems associated with amniotic cavity and membranes
344.9,"Paralysis, unspecified"
004.8,Other specified shigella infections
E836.5,Machinery accident in water transport injuring swimmer
37.89,Revision or removal of pacemaker device
91.33,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture and sensitivity"
91.49,"Microscopic examination of specimen from female genital tract, other microscopic examination"
377.10,"Optic atrophy, unspecified"
756.89,"Other specified anomalies of muscle, tendon, fascia, and connective tissue"
37.20,Noninvasive programmed electrical stimulation [NIPS]
245.1,Subacute thyroiditis
017.20,"Tuberculosis of peripheral lymph nodes, unspecified"
E954,Suicide and self-inflicted injury by submersion [drowning]
718.98,"Unspecified derangement of joint, other specified sites"
013.84,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
046.9,Unspecified slow virus infection of central nervous system
798.0,Sudden infant death syndrome
V01.3,Contact with or exposure to smallpox
013.86,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
E923.8,Accident caused by other explosive materials
333.6,Genetic torsion dystonia
436,"Acute, but ill-defined, cerebrovascular disease"
276.2,Acidosis
V66.3,Convalescence following psychotherapy and other treatment for mental disorder
071,Rabies
E941.9,Unspecified drug primarily affecting the autonomic nervous system causing adverse effects in therapeutic use
V12.6,Personal history of diseases of respiratory system
934.0,Foreign body in trachea
375.00,"Dacryoadenitis, unspecified"
60.97,Other transurethral destruction of prostate tissue by other thermotherapy
E991.7,Injury due to war operations by fragments from other improvised explosive device [IED]
E991.5,Injury due to war operations by fragments from person-borne improvised explosive device [IED]
442.1,Aneurysm of renal artery
782.2,"Localized superficial swelling, mass, or lump"
84.01,Amputation and disarticulation of finger
013.90,"Unspecified tuberculosis of central nervous system, unspecified"
94.13,Psychiatric commitment evaluation
E950.7,Suicide and self-inflicted poisoning by corrosive and caustic substances
618.04,Rectocele
V25.03,Encounter for emergency contraceptive counseling and prescription
V25.01,General counseling on prescription of oral contraceptives
670.32,"Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication"
704.42,Trichilemmal cyst
850.9,"Concussion, unspecified"
E852.9,Accidental poisoning by unspecified sedative or hypnotic
719.8,Other specified disorders of joint
327.15,Hypersomnia due to mental disorder
754.81,Pectus excavatum
090.5,"Other late congenital syphilis, symptomatic"
E944.0,Mercurial diuretics causing adverse effects in therapeutic use
807.1,Open fracture of rib(s)
377.54,Disorders of optic chiasm associated with inflammatory disorders
38.35,"Resection of vessel with anastomosis, other thoracic vessels"
478.30,"Paralysis of vocal cords or larynx, unspecified"
803.92,"Other open skull fracture with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
292.11,Drug-induced psychotic disorder with delusions
813.2,"Fracture of shaft of radius and ulna, closed"
V47.2,Other cardiorespiratory problems
202.57,"Letterer-siwe disease, spleen"
75.8,Obstetric tamponade of uterus or vagina
671.50,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable"
38.92,Umbilical vein catheterization
039.4,Madura foot
379.5,Nystagmus and other irregular eye movements
824.5,"Bimalleolar fracture, open"
85.85,Muscle flap graft to breast
80.38,"Biopsy of joint structure, foot and toe"
917.9,"Other and unspecified superficial injury of foot and toes, infected"
212.8,Benign neoplasm of other specified sites of respiratory and intrathoracic organs
552.9,"Hernia of unspecified site, with obstruction"
95.09,"Eye examination, not otherwise specified"
495.5,Mushroom workers' lung
320.0,Hemophilus meningitis
428.21,Acute systolic heart failure
655.33,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, antepartum condition or complication"
45.42,Endoscopic polypectomy of large intestine
449,Septic arterial embolism
852.29,"Subdural hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified"
799.9,Other unknown and unspecified cause of morbidity and mortality
26.12,Open biopsy of salivary gland or duct
655.31,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition"
204.11,"Chronic lymphoid leukemia, in remission"
578.0,Hematemesis
80.98,"Other excision of joint, foot and toe"
170.8,Malignant neoplasm of short bones of lower limb
863.59,"Other injury to colon or rectum, with open wound into cavity"
464.00,Acute laryngitis without mention of obstruction
771.2,Other congenital infections specific to the perinatal period
945.04,Burn of unspecified degree of lower leg
17.51,"Implantation of rechargeable cardiac contractility modulation [CCM], total system"
751.4,Anomalies of intestinal fixation
694.0,Dermatitis herpetiformis
971,Poisoning by drugs primarily affecting the autonomic nervous system
E921.1,Accident caused by explosion of gas cylinders
948.32,"Burn [any degree] involving 30-39 percent of body surface with third degree burn, 20-29%"
83.21,Open biopsy of soft tissue
453.4,Acute venous embolism and thrombosis of deep vessels of lower extremity
